Unnamed: 0,City,No. Stations,Air Quality,Index Value,Prominent Pollutant,year,Date,Season,Temp,Humidity,WindSpeed
165617,Lucknow,6,Moderate,158,"PM10, PM2.5",2022,2022-01-01,Winter,14.3,83.2,9.4
165632,Jaipur,2,Poor,221,PM2.5,2022,2022-01-01,Winter,13.6,56.9,9.4
165670,Mumbai,13,Moderate,173,"O3, PM10, PM2.5",2022,2022-01-01,Winter,26.6,59.0,14.8
165702,Delhi,35,Very Poor,362,"PM10, PM2.5",2022,2022-01-01,Winter,11.9,80.7,9.4
165735,Delhi,33,Severe,404,PM2.5,2022,2022-01-02,Winter,12.7,80.9,8.0
165736,Mumbai,15,Moderate,150,PM2.5,2022,2022-01-02,Winter,27.0,61.7,17.2
165780,Jaipur,2,Moderate,194,"PM10, PM2.5",2022,2022-01-02,Winter,14.6,57.9,14.8
165865,Lucknow,6,Poor,238,"PM10, PM2.5",2022,2022-01-02,Winter,13.5,82.9,9.4
165885,Lucknow,6,Poor,274,"PM10, PM2.5",2022,2022-01-03,Winter,13.3,83.6,7.6
165914,Jaipur,2,Poor,240,PM2.5,2022,2022-01-03,Winter,15.7,57.9,11.2
165929,Mumbai,15,Moderate,156,"O3, PM2.5",2022,2022-01-03,Winter,27.2,61.9,16.7
165970,Delhi,35,Very Poor,387,PM2.5,2022,2022-01-03,Winter,13.8,76.1,13.0
166038,Jaipur,2,Poor,269,PM2.5,2022,2022-01-04,Winter,16.6,64.7,14.8
166059,Delhi,37,Very Poor,378,PM2.5,2022,2022-01-04,Winter,15.8,71.1,7.6
166118,Mumbai,15,Moderate,184,"PM10, PM2.5",2022,2022-01-04,Winter,27.1,63.5,15.4
166139,Lucknow,6,Poor,287,"PM10, PM2.5",2022,2022-01-04,Winter,14.6,83.6,7.6
166184,Lucknow,6,Poor,290,"PM10, PM2.5",2022,2022-01-05,Winter,13.9,92.9,7.6
166195,Mumbai,14,Poor,219,"O3, PM2.5",2022,2022-01-05,Winter,26.5,72.9,14.9
166240,Delhi,33,Very Poor,397,PM2.5,2022,2022-01-05,Winter,13.7,91.8,22.3
166247,Jaipur,2,Moderate,146,PM2.5,2022,2022-01-05,Winter,15.3,81.3,20.5
166379,Jaipur,3,Poor,214,PM2.5,2022,2022-01-06,Winter,14.0,94.2,14.8
